,title,commentCount,dislikeCount,likeCount,music_style,performer,viewCount,commentators_uniq,comments_obscene_cnt,video_age,id_performer,id_music_style
0,"""#2Маши ""Свободные линии""",34.0,43.0,1402.0,popsa,2маши,214301.0,24.0,0.0,1141,99991,12345
1,"""Моя любимая кухня"". Дорада на скорую руку",36.0,90.0,512.0,popsa,2маши,74666.0,27.0,0.0,2160,99991,12345
2,"""Моя любимая кухня"". Спецвыпуск. Что мы покупаем  на рынке?",5.0,5.0,132.0,popsa,2маши,17766.0,4.0,0.0,2164,99991,12345
3,"# 2 МАШИ  ""Теперь Нас Двое""",5.0,14.0,153.0,popsa,2маши,15176.0,4.0,0.0,1317,99991,12345
4,"# 2 Маши "" Мысли"" ..",51.0,79.0,1963.0,popsa,2маши,377074.0,28.0,0.0,1246,99991,12345
5,"# 2 Маши - ""Теперь нас двое""",62.0,44.0,1014.0,popsa,2маши,113229.0,42.0,0.0,1235,99991,12345
6,"#2 Маши   ""Свободные линии""",10.0,9.0,198.0,popsa,2маши,24605.0,9.0,0.0,1196,99991,12345
7,#2Mashi  - Descalza  (Acoustic),983.0,1096.0,35661.0,popsa,2маши,3232013.0,585.0,9.0,315,99991,12345
8,#2Mashi - Descalza,412.0,318.0,8299.0,popsa,2маши,1099660.0,258.0,2.0,298,99991,12345
9,"#2Maши VLOG  [ Как мы снимали клип на песню ""Мама, я Танцую"" ]",147.0,116.0,2492.0,popsa,2маши,240625.0,80.0,3.0,96,99991,12345
10,"#2МАШИ ""ИЗВЕСТИЯ HALL""  [ 22.10.2017 ]",25.0,21.0,537.0,popsa,2маши,42047.0,16.0,0.0,494,99991,12345
11,"#2МАШИ ""Теперь нас двое"" (ТИЗЕР)",0.0,2.0,22.0,popsa,2маши,2370.0,,,1236,99991,12345
12,#2МАШИ - ФИЛЬМ о СТЕРВЫХ  и РЕЖИССЕРКАЯ версия КЛИПА,8.0,10.0,204.0,popsa,2маши,10048.0,6.0,0.0,618,99991,12345
13,#2МАШИ - ЭКСКЛЮЗИВ !  RUTV со съемок клипа!!,0.0,1.0,56.0,popsa,2маши,4819.0,,,813,99991,12345
14,"#2Маши   ""Мы выбираем"" рядио МАЯК LIVE",0.0,3.0,74.0,popsa,2маши,5878.0,,,1030,99991,12345
15,"#2Маши   ""Стервы""  LIVE",10.0,4.0,127.0,popsa,2маши,6531.0,7.0,0.0,841,99991,12345
16,"#2Маши  ""Мы выбираем"" LIVE !",66.0,36.0,1413.0,popsa,2маши,107477.0,43.0,1.0,828,99991,12345
17,"#2Маши  ""тут тебя жду тебя я""",4.0,1.0,96.0,popsa,2маши,3795.0,4.0,0.0,1064,99991,12345
18,"#2Маши  - ""СТЕРВЫ""   Квартирник.",25.0,8.0,557.0,popsa,2маши,29057.0,20.0,0.0,795,99991,12345
19,#2Маши  - Красное Белое [ AUDIO ],55.0,85.0,1567.0,popsa,2маши,186665.0,41.0,0.0,244,99991,12345
20,#2Маши  Фотосессия #backstage,9.0,6.0,210.0,popsa,2маши,13556.0,6.0,0.0,845,99991,12345
21,"#2Маши ""Босая""  ТИЗЕР",11.0,9.0,235.0,popsa,2маши,18726.0,9.0,0.0,350,99991,12345
22,"#2Маши ""Босая"" ( КАРАОКЕ )",17.0,26.0,523.0,popsa,2маши,48935.0,10.0,0.0,184,99991,12345
23,"#2Маши ""Босая"" (Акустика LIVE) Живой звуК",376.0,232.0,5449.0,popsa,2маши,285153.0,148.0,10.0,210,99991,12345
24,"#2Маши ""Босая"" [ репетиция для Вечернего УРГАНТА"" ]",176.0,81.0,1282.0,popsa,2маши,88921.0,72.0,0.0,180,99991,12345
25,"#2Маши ""Вселенная У.""",47.0,52.0,1444.0,popsa,2маши,276347.0,33.0,0.0,923,99991,12345
