music_style,performer,comments_obscene_cnt,dislikeCount
rap,gazgolder,24865.0,945517.0
rock,ленинград,12013.0,1391853.0
rap,oxxxymiron,7190.0,218474.0
rap,элджей,6789.0,776587.0
rap,тимати,5958.0,1940364.0
rap,noizemc,5271.0,139761.0
rap,lone,3576.0,428776.0
rap,лсп,3504.0,151972.0
indi,пошлая_молли,3345.0,137475.0
rap,face,3107.0,1348229.0
rap,pharaon,2620.0,501081.0
rap,feduk,2595.0,319763.0
rap,хаски,2494.0,62630.0
rap,johnyboy,1768.0,39312.0
popsa,кока,1700.0,255151.0
rap,крид,1684.0,967210.0
rap,мот,1647.0,304447.0
popsa,бузова,1461.0,725132.0
rock,би_2,980.0,67522.0
estrada,киркоров,834.0,402965.0
rock,король_и_шут,784.0,8904.0
popsa,билан,757.0,151885.0
popsa,serebro,739.0,222471.0
popsa,виа_гра,692.0,78892.0
rock,тараканы,621.0,11251.0
popsa,iowa,584.0,125990.0
indi,мальбэк,572.0,67452.0
rock,кипелов,567.0,28788.0
popsa,loboda,518.0,297397.0
popsa,темникова,467.0,73503.0
popsa,лазарев,464.0,128623.0
rock,мумий_тролль,464.0,20702.0
indi,монеточка,455.0,39483.0
classic,classical_channel,455.0,367160.0
rap,miyagi&эндшпиль,454.0,142267.0
popsa,руки_вверх,444.0,108418.0
estrada,михайлов,426.0,115528.0
rock,кино,421.0,11138.0
indi,антоха_мс,415.0,21404.0
shanson,михаил_круг,406.0,21445.0
popsa,astudio,355.0,38933.0
estrada,лепс,352.0,26222.0
estrada,газманов,346.0,23818.0
popsa,караулова,295.0,24225.0
popsa,2маши,293.0,66327.0
rock,наив,289.0,4878.0
popsa,градусы,273.0,11667.0
rock,звери,260.0,19611.0
popsa,нюша,259.0,99623.0
popsa,макsим,254.0,45910.0
rock,louna,242.0,8552.0
popsa,барских,212.0,110805.0
shanson,воровайки,207.0,15481.0
shanson,бутырка,190.0,19271.0
rock,ногу_свело,186.0,7968.0
rock,гребенщиков,183.0,4437.0
estrada,басков,171.0,28459.0
rock,сплин,162.0,11257.0
indi,гречка,138.0,5314.0
rock,чичерина,116.0,16906.0
rock,несчастный_случай,114.0,8156.0
rock,порнофильмы,105.0,1210.0
rock,смысловые_галлюцинации,103.0,4550.0
popsa,гагарина,103.0,64041.0
shanson,ирина_круг,99.0,19514.0
estrada,валерия,92.0,35029.0
rock,кукрыниксы,83.0,2391.0
estrada,лолита,79.0,14714.0
rock,арбенина,72.0,15306.0
rock,ария,65.0,10413.0
estrada,меладзе,56.0,3910.0
rock,план ломоносова,46.0,708.0
indi,pompeya,38.0,1057.0
rap,грибы,37.0,7051.0
shanson,дюмин,36.0,1450.0
shanson,жека,35.0,6859.0
shanson,трофимов,29.0,3591.0
estrada,николаев,26.0,27193.0
indi,гш,26.0,537.0
shanson,шуфутинский,24.0,5913.0
indi,motorama,22.0,1369.0
indi,ic3peak,16.0,17701.0
indi,алоэ_вера,10.0,692.0
indi,краснознаменная_дивизия_имени_моей_бабушки,9.0,442.0
indi,женя_любич,9.0,1133.0
rock,гражданская_оборона,5.0,1006.0
rock,агата_кристи,4.0,4839.0
estrada,ваенга,4.0,4683.0
rock,летов,2.0,729.0
indi,буерак,2.0,1131.0
rock,земфира,2.0,6358.0
indi,хадн_дадн,1.0,31.0
estrada,пугачёва,1.0,2676.0
indi,интурист,1.0,31.0
indi,cбпч,1.0,974.0
estrada,леонтьев,0.0,42.0
popsa,ёлка,0.0,3035.0
indi,электрофорез,0.0,337.0
indi,рыцарные_рыцари,0.0,0.0
estrada,агутин,0.0,14.0
indi,пасош,0.0,1297.0
indi,наадя,0.0,251.0
indi,казускома,0.0,58.0
estrada,буйнов,0.0,32.0
indi,rsac,0.0,770.0
rock,сектор_газа,0.0,4335.0
rock,ддт,0.0,4951.0
indi,деревянные киты,0.0,43.0
indi,retuses,0.0,18.0
indi,sonic_death,0.0,109.0
estrada,ротару,0.0,474.0
