,0
0,2маши
1,лазарев
2,мумий_тролль
3,нюша
4,classical_channel
5,антоха_мс
6,николаев
7,виа_гра
8,король_и_шут
9,валерия
10,кукрыниксы
11,михаил_круг
12,ария
13,ирина_круг
14,барских
15,арбенина
16,воровайки
17,газманов
18,краснознаменная_дивизия_имени_моей_бабушки
19,чичерина
20,ваенга
21,би_2
22,звери
23,ногу_свело
24,киркоров
25,louna
26,несчастный_случай
27,тараканы
28,тимати
29,gazgolder
30,noizemc
31,темникова
32,крид
33,караулова
34,земфира
35,михайлов
36,кока
37,руки_вверх
38,miyagi&эндшпиль
39,план ломоносова
40,шуфутинский
41,ленинград
42,rsac
43,astudio
44,pharaon
45,наив
46,serebro
47,элджей
48,смысловые_галлюцинации
49,cбпч
50,ддт
51,электрофорез
52,женя_любич
53,пасош
54,пугачёва
55,гребенщиков
56,loboda
57,feduk
58,lone
59,oxxxymiron
60,сектор_газа
61,бузова
62,казускома
63,мальбэк
64,буерак
65,pompeya
66,басков
67,леонтьев
68,буйнов
69,retuses
70,летов
71,гражданская_оборона
72,макsим
73,билан
74,лолита
75,агата_кристи
76,sonic_death
77,ёлка
78,градусы
79,лепс
80,гагарина
81,агутин
82,бутырка
83,ротару
84,ic3peak
85,face
86,motorama
87,гш
88,трофимов
89,жека
90,iowa
91,грибы
92,johnyboy
93,кипелов
94,сплин
95,лсп
96,интурист
97,кино
98,алоэ_вера
99,хадн_дадн
100,дюмин
101,наадя
102,рыцарные_рыцари
103,монеточка
104,меладзе
105,порнофильмы
106,гречка
107,мот
108,деревянные киты
109,пошлая_молли
110,хаски
