	title
0	"""#2Маши ""Свободные линии"""
1	"""ALARM"" СЕРГЕЙ ЛАЗАРЕВ ( SERGEY LAZAREV )"
2	"""EARTH SONG""  SERGEY LAZAREV. DEDICATED TO MICHAEL JACKSON ( Cover version)"
3	"""Earth song"" премия МУЗ-тВ 2010 (LIVE)"
4	"""FAKE"" СЕРГЕЙ ЛАЗАРЕВ (SERGEY)"
5	"""Feelin High"" Сергей Лазарев Sergey Lazarev live"
6	"""Girlfriend"" Сергей Лазарев (SERGEY)"
7	"""Heartbeat"" Сергей Лазарев (Sergey Lazarev)"
8	"""Hey Tovarish"" Video Shooting"
9	"""LAZERBOY"" Сергей Лазарев (SERGEY) feat. TИМАТИ (Timati)"
10	"""LAZERBOY""( Michael Yousher videoremix) Сергей Лазарев (SERGEY) и ТИМАТИ"
11	"""Lost without your love"" Сергей Лазарев (SERGEY)"
12	"""Love Radio"": Съемки клипа НЮШИ ""Наедине"""
13	"""Ru Music"": НЮША сняла новый клип!"
14	"""Ru Новости"": НЮША чудом вернулась в Москву!"
15	"""SOS Матросу!"" - тизер фильма"
16	"""STEREO"" (LIVE) Сергей Лазарев (SERGEY)"
17	"""Shattered dreams"" Сергей Лазарев (SERGEY)"
18	"""Tv or radio"" Сергей Лазарев (SERGEY)"
19	"""You Are The Only One"" - Sergey Lazarev /MadWalk Fashion Music Show"
20	"""Аве Мария"" Весь зал плакал. Вика 11 лет"
21	"""Антоха МС - Советы для молодожёнов /2017/"""
22	"""Большая семья"" Игоря Крутого - часть 1"
23	"""Большая семья"" Игоря Крутого - часть 2"
24	"""Большая семья"" Игоря Крутого - часть 3"
25	"""Большая семья"" Игоря Крутого - часть 4"
26	"""Большая семья"" Игоря Крутого - часть 6"
27	"""Большая семья"" Игоря Крутого - часть 7"
28	"""Большая семья"" Игоря Крутого - часть 8"
29	"""Большая семья"" Игоря Крутого - часть 9"
30	"""Большая семья"" Игоря Николаева  - часть 2"
31	"""Большая семья"" Игоря Николаева - часть 1"
32	"""Большая семья"" Игоря Николаева - часть 3"
33	"""В теме"" на Ю: НЮША"
34	"""В теме"" на Ю: НЮША любимый артист портала Woman.ru"
35	"""ВИА Гра. Тайны производства"" (""Моя правда"" на ""СТБ"")"
36	"""ВОИН ДУМА"""
37	"""Вечерний Ургант"" Валерия в гостях у Ивана Урганта."
38	"""Виктор Цой. 50 лет"" Кукрыниксы - Печаль, Кончится лето..."
39	"""Владимирский Централ"" песня под гитару"
40	"""Всё, что было"". Начало."
41	"""Где ты"" [Москва, 2012г.]"
42	"""Глаза - убийцы"". Первые впечатления"
43	"""Глаза - убийцы"". Первые впечатления"
44	"""Глаза - убийцы"". Первые впечатления"
45	"""Глаза - убийцы"". Первые впечатления"
46	"""Глаза - убийцы"". Первые впечатления"
47	"""Говорим и показываем"". Бенефис ВАЛЕРИИ! НТВ 2012"
48	"""Горыгоры"" - вторая песня, записанная на съемках ""Вечернего Урганта"""
49	"""ДОЧКИ МАТЕРИ"" (Audio) - гр. ""Воровайки"". Слова Виктории В. Ветровой, муз. Юрия Алмазова"
50	"""ДОстояние РЕспублики"" - Игорь Николаев (1)"
51	"""ДОстояние РЕспублики"" - Игорь Николаев (2)"
52	"""ДОстояние РЕспублики"" - Игорь Николаев (3)"
53	"""ДОстояние РЕспублики"" - Игорь Николаев (4)"
54	"""Давайте мириться"" [2011г.]"
55	"""Дерево Победы 2013"" в Челябинске"
56	"""Дивизия"" приглашает на ""Городских Птичек"""
57	"""Дивизия"" приглашает на фестиваль ""Троица"""
58	"""Донбасс - моя Спарта"". Документальный проект Максима Фадеева и Юлии Чичериной"
59	"""Дорога от души к душе"" [Зеленоград, 2013г.]"
60	"""Ещё не вечер. Отдам все за жилье"" (Елена Ваенга) 18.11.2011."
61	"""Женский взгляд"" Игорь Николаев и Юля Проскурякова (1)"
62	"""Женский взгляд"" Игорь Николаев и Юля Проскурякова (2)"
63	"""Женский взгляд"" Игорь Николаев и Юля Проскурякова (3)"
64	"""Живут же люди!"" на НТВ [2010г.]"
65	"""Живут же люди"" Игорь Николаев и Юля Проскурякова (1)"
66	"""Живут же люди"" Игорь Николаев и Юля Проскурякова (2)"
67	"""Живут же люди"" Игорь Николаев и Юля Проскурякова (3)"
